Country,Year,Outbound Tourists,Tourist Expenditure (USD),Unemployment rates
Australia,2011,7765900.0,"39,381.5",5.1
Australia,2012,8206000.0,"41,632.8",5.2
Australia,2013,8709600.0,"42,428.3",5.7
Australia,2014,9139100.0,"38,774.5",6.1
Australia,2015,9420300.0,"36,226",6.1
Australia,2016,9969800.0,"39,082.3",5.7
Australia,2017,10535200.0,"43,974.4",5.6
Australia,2018,11061400.0,"47,259.8",5.3
Australia,2019,11308900.0,"47,744.6",5.2
Australia,2020,2832400.0,"8,810.2",6.5
Australia,2021,300800.0,"16,988.1",5.1
Australia,2022,5225600.0,"24,107.6",3.7
Austria,2014,13543603.0,"23,174.4",6.0
Austria,2015,13001584.0,"20,360.8",6.2
Austria,2016,14245862.0,"20,978",6.5
Austria,2017,14067900.0,"22,539.4",5.9
Austria,2018,13646424.0,"25,277.1",5.2
Austria,2019,14388130.0,"25,890.1",4.8
Austria,2020,5072270.0,"5,160.4",5.5
Austria,2021,8627701.0,"8,153.8",6.2
Austria,2022,16789939.0,"22,330",4.7
Canada,2011,61910516.0,"43,166.7",7.6
Canada,2012,65178648.0,"45,144.6",7.4
Canada,2013,65797832.0,"45,746.3",7.2
Canada,2014,63736887.0,"44,946",7.0
Canada,2015,55970694.0,"40,333.6",7.0
Canada,2016,52979368.0,"39,178.7",7.0
Canada,2017,54631512.0,"41,888",6.4
Canada,2018,56340014.0,"42,313.1",5.9
Canada,2019,56157406.0,"43,249.3",5.7
Canada,2020,14605347.0,"14,164.7",9.7
Canada,2021,7905501.0,"9,162.7",7.5
Chile,2011,3223358.915,"2,752.6",7.3
Chile,2012,3448109.377,"3,184.9",6.6
Chile,2013,3673739.932,"3,192.4",6.1
Chile,2014,3841331.521,"3,221.6",6.5
Chile,2015,4102654.631,"3,428.6",6.3
Chile,2016,4269086.111,"3,761.8",6.7
Chile,2017,4366577.738,"4,136.1",7.0
Chile,2018,4604919.094,"3,937",7.4
Chile,2019,2883274.0965,"3,316.7",7.2
Chile,2020,1161629.099,840.9,10.8
Chile,2021,519438.0,588.3,8.9
Chile,2022,2366306.0,"2,355.2",7.9
Colombia,2011,2521682.0,"3,841",11.1
Colombia,2012,3169261.0,"4,461.1",10.6
Colombia,2013,3604631.0,"4,819",9.9
Colombia,2014,3910856.0,"5,298.7",9.4
Colombia,2015,3861508.0,"5,281",9.2
Colombia,2016,3794525.0,"5,631.1",9.6
Colombia,2017,4016597.0,"5,898.6",9.7
Colombia,2018,4368162.0,"6,655",9.9
Colombia,2019,4478963.0,"6,784.6",10.9
Colombia,2020,1274836.0,"1,931.8",16.7
Colombia,2021,3004151.0,"3,054.4",13.8
Colombia,2022,3004151.0,"6,948.025",11.2
Czechia,2011,10892744.0,"8,929",6.7
Czechia,2012,10989743.0,"8,174.1",7.0
Czechia,2013,10304716.0,"7,792.6",6.9
Czechia,2014,10141183.0,"7,619.6",6.1
Czechia,2015,10382701.287,"6,766.5",5.0
Czechia,2016,10826892.503,"7,039.7",3.9
Czechia,2017,11431191.85,"7,655.4",2.9
Czechia,2018,12838945.327,"8,281.5",2.2
Czechia,2019,12974004.683,"7,968.6",2.0
Czechia,2020,4049445.457,"3,850.2",2.5
Czechia,2021,5245285.267,"3,356.5",2.7
Czechia,2022,5245285.267,"5,310.3",2.2
Estonia,2011,2997472.0,939.2,12.3
Estonia,2012,3150188.0,960.3,10.0
Estonia,2013,3367779.0,"2,063.2",8.6
Estonia,2014,3480373.0,"2,276.4",7.4
Estonia,2015,3596252.0,"1,882.6",6.2
Estonia,2016,3421515.0,"1,906.4",6.8
Estonia,2017,3605347.0,"2,115",5.8
Estonia,2018,3607325.0,"2,331.3",5.4
Estonia,2019,3640927.0,"2,306.1",4.4
Estonia,2020,1335095.0,836.5,6.8
Estonia,2021,1225785.0,909.5,6.2
Estonia,2022,2689687.0,"1,644.1",5.6
Finland,2011,8238000.0,"5,997.65",7.9
Finland,2012,8884000.0,"5,843.589",7.8
Finland,2013,9530000.0,"6,388.3",8.3
Finland,2014,9780000.0,"6,329",8.8
Finland,2015,10020000.0,"5,790.6",9.6
Finland,2016,10280000.0,"6,203.1",9.0
Finland,2017,10480000.0,"6,713.7",8.8
Finland,2018,10480000.0,"7,235.7",7.4
Finland,2019,10440000.0,"6,626.2",6.7
Finland,2020,2690000.0,"1,947.3",7.8
Finland,2021,2260000.0,"1,402.7",7.6
Finland,2022,6780000.0,"4,863",6.8
France,2011,31153000.0,"65,728.1",9.2
France,2012,29641782.0,"64,306.3",9.8
France,2013,30456513.0,"66,169.5",10.3
France,2014,31941524.0,"67,113.3",10.3
France,2015,30607599.0,"66,461",10.3
France,2016,29635945.125,"63,387.9",10.1
France,2017,38852291.0625,"67,342.6",9.4
France,2018,48068637.0,"72,693.6",9.0
France,2019,34436009.5,"70,877.3",8.4
France,2020,20803382.0,"35,754.1",8.0
France,2021,21366205.0,"44,912.3",7.9
France,2022,39484139.782,"67,909.1",7.3
Germany,2014,183238008.0,"58,741.5",4.7
Germany,2015,181216354.0,"85,380.2",4.4
Germany,2016,192956601.0,"87,281.5",3.9
Germany,2017,194276056.0,"97,069.5",3.6
Germany,2018,208171530.832,"60,321",3.2
Germany,2019,212142966.0,"93,303.8",3.0
Germany,2020,103116570.0,"38,903.2",3.6
